text,intent
"hey assistant, bye",farewell
just tell me the time,time
open the app,open_app
"hey, tell me the forecast",weather
just how is the weather,weather
search the web for assistant,search_web
"hey assistant, open up",open_app
can you wake me up,set_alarm
"hey, new alarm",set_alarm
would you mind if you yo at 7 am,greeting
"hey assistant, see ya on youtube",farewell
can you how is the weather,weather
"hey assistant, is it sunny friend",weather
"hey assistant, farewell",farewell
"ok, create a timer",set_alarm
"hey, play a song quickly",play_music
would you mind if you is it raining outside,weather
"ok, make me laugh please",joke
is it sunny at 7 am,weather
please play a song on spotify,play_music
would you mind if you how is the weather,weather
"hey assistant, find information about",search_web
"hey assistant, crack a joke for 10 minutes",joke
please open up for me,open_app
can you tell me something funny tomorrow,joke
i need you to do you know the time at 7 am,time
just show me,open_app
say a joke tomorrow,joke
"hey assistant, say a joke on spotify",joke
i need you to talk to you soon,farewell
"hey assistant, yo assistant",greeting
"hey assistant, tell me a joke right now",joke
"ok, is it raining outside quickly",weather
"hey, tell me a joke",joke
"ok, hi there in london",greeting
please what's the weather like today,weather
would you mind if you peace out quickly,farewell
would you mind if you do you know the time assistant,time
"hey, resume playback",play_music
please tell me the forecast at 7 am,weather
just timer for,set_alarm
can you is it raining outside,weather
"hey, make me laugh",joke
peace out,farewell
"ok, top of the morning",greeting
would you mind if you do i need an umbrella,weather
please time check for 10 minutes,time
can you what's the weather like on youtube,weather
would you mind if you boot up please,open_app
i need you to bye tomorrow,farewell
please is it raining outside for me,weather
"hey assistant, start",open_app
just have a good one,farewell
say a joke friend,joke
would you mind if you what's the clock say,time
could you open the app,open_app
would you mind if you go to,open_app
would you mind if you i need a laugh,joke
start playing music quickly,play_music
"ok, yo",greeting
just can you google,search_web
could you tell me a joke,joke
please gotta go,farewell
"hey, tell me the forecast",weather
"hey, farewell on spotify",farewell
"ok, start playing music",play_music
"hey assistant, start",open_app
would you mind if you bye tomorrow,farewell
please see ya for me,farewell
please wake me up,set_alarm
just time check right now,time
just hi,greeting
"hey assistant, see you later",farewell
just peace out,farewell
"ok, start playing music",play_music
would you mind if you resume playback,play_music
i need you to hi there please,greeting
could you good afternoon in new york,greeting
just time check quickly,time
can you hi there for me,greeting
"ok, tell me a joke for me",joke
start,open_app
please good afternoon tomorrow,greeting
"hey, add an alarm friend",set_alarm
i need you to do you know the time,time
please add an alarm,set_alarm
farewell friend,farewell
would you mind if you is it sunny,weather
is it raining outside at 7 am,weather
can you remind me in new york,set_alarm
just add an alarm,set_alarm
"hey assistant, hi there",greeting
can you play some music on youtube,play_music
"hey, add an alarm tomorrow",set_alarm
"hey assistant, can you open",open_app
just open the app quickly,open_app
i need you to do i need an umbrella,weather
can you new alarm in london,set_alarm
i need you to do you know any jokes,joke
could you resume playback,play_music
"hey, start at 7 am",open_app
say a joke,joke
"hey, what is the temperature on spotify",weather
would you mind if you what is right now,search_web
can you find information about,search_web
please wake me up friend,set_alarm
is it raining outside,weather
would you mind if you look up,search_web
i need you to how is the weather,weather
is it raining outside tomorrow,weather
could you can you open right now,open_app
just search for,search_web
could you have a good one right now,farewell
"ok, crack a joke about dogs",joke
just tell me something funny,joke
would you mind if you time check,time
"hey assistant, is it sunny right now",weather
"hey assistant, google",search_web
"hey assistant, start playing music",play_music
could you tell me a joke,joke
please start,open_app
just open up,open_app
i need you to good morning,greeting
"hey, top of the morning",greeting
"hey assistant, good afternoon for 10 minutes",greeting
just i need a laugh friend,joke
"hey assistant, google",search_web
"ok, how are you at 7 am",greeting
could you time check quickly,time
"hey, how are you now",greeting
i need you to gotta go,farewell
find information about,search_web
would you mind if you set a timer,set_alarm
i need you to go to,open_app
have a good one please,farewell
can you set a timer please,set_alarm
please good morning for me,greeting
would you mind if you is it raining outside buddy,weather
"ok, search the web for",search_web
"hey assistant, see you later",farewell
"hey, good evening at 7 am",greeting
can you can you open friend,open_app
"hey assistant, peace out tomorrow",farewell
just good afternoon,greeting
just wake me up now,set_alarm
can you show me,open_app
could you timer for,set_alarm
"hey assistant, i need a laugh quickly",joke
i need you to what is in new york,search_web
can you set a timer,set_alarm
would you mind if you google at 7 am,search_web
would you mind if you set an alarm assistant,set_alarm
"ok, google on spotify",search_web
just put on a playlist,play_music
please what's the weather like about space,weather
please say a joke about space,joke
can you search for,search_web
"hey assistant, can you open on youtube",open_app
just can you google,search_web
"ok, do you know any jokes in new york",joke
please put on a playlist,play_music
can you do i need an umbrella assistant,weather
would you mind if you is it raining outside,weather
"hey assistant, crack a joke buddy",joke
"ok, start playing music",play_music
just yo,greeting
just hello,greeting
can you time check in london,time
would you mind if you what is,search_web
would you mind if you good evening,greeting
would you mind if you farewell,farewell
could you hey in london,greeting
can you catch you later for 10 minutes,farewell
just is it sunny,weather
"hey, search the web for in london",search_web
can you greetings buddy,greeting
can you do i need an umbrella,weather
could you tell me the time,time
"hey assistant, what is",search_web
would you mind if you put on a playlist,play_music
"hey, do i need an umbrella buddy",weather
just launch,open_app
could you what is the time,time
"hey, what is the time in london",time
would you mind if you look up at 7 am,search_web
just resume playback,play_music
bye bye on spotify,farewell
can you play some music,play_music
"hey assistant, hiya assistant",greeting
would you mind if you can you google assistant,search_web
can you show me,open_app
"ok, open up assistant",open_app
would you mind if you add an alarm,set_alarm
would you mind if you open the app,open_app
can you shuffle my songs at 7 am,play_music
say a joke quickly,joke
who is,search_web
would you mind if you timer for buddy,set_alarm
could you resume playback about dogs,play_music
look up friend,search_web
just what is the time,time
please launch tomorrow,open_app
could you look up,search_web
"hey assistant, resume playback",play_music
please what is,search_web
please what's the clock say right now,time
"hey assistant, tell me the time for 10 minutes",time
remind me,set_alarm
could you music please,play_music
"ok, tell me about quickly",search_web
"ok, show me friend",open_app
i need you to can you open,open_app
i need you to who is for me,search_web
could you search for on spotify,search_web
can you have a good one about dogs,farewell
could you yo,greeting
would you mind if you tell me the time in new york,time
can you add an alarm quickly,set_alarm
would you mind if you open up please,open_app
"hey assistant, catch you later today",farewell
can you launch,open_app
play some music,play_music
"ok, good evening",greeting
just current time please,time
could you do you know the time,time
would you mind if you can you open for me,open_app
"hey assistant, what is the temperature",weather
would you mind if you hiya quickly,greeting
would you mind if you tell me the time in london,time
would you mind if you go to buddy,open_app
can you show me,open_app
"hey assistant, remind me",set_alarm
go to please,open_app
please search the web for on youtube,search_web
please how is the weather for me,weather
gotta go,farewell
"hey, search for",search_web
"hey assistant, tell me the time",time
please start,open_app
just do you know any jokes in new york,joke
would you mind if you what is the time in london,time
would you mind if you wake me up for me,set_alarm
i need you to is it sunny quickly,weather
i need you to wake me up,set_alarm
would you mind if you tell me a joke,joke
"ok, play some tunes",play_music
what is the temperature quickly,weather
can you set a timer about dogs,set_alarm
can you play some tunes,play_music
would you mind if you good evening,greeting
could you tell me the forecast,weather
"hey, add an alarm for me",set_alarm
would you mind if you launch in new york,open_app
"ok, yo",greeting
"ok, google",search_web
new alarm,set_alarm
would you mind if you what's the weather like,weather
"hey, how is the weather please",weather
could you set a timer buddy,set_alarm
please see ya friend,farewell
"hey, create a timer",set_alarm
just do you know the time,time
tell me the time,time
"hey, set a timer",set_alarm
what is the time,time
can you launch,open_app
would you mind if you wake me up please,set_alarm
would you mind if you do you know any jokes now,joke
i need you to what's up,greeting
would you mind if you have a good one,farewell
"hey, i'm leaving",farewell
"hey, what is the time quickly",time
"hey, add an alarm about dogs",set_alarm
i need you to crack a joke,joke
just gotta go buddy,farewell
please show me,open_app
i need you to who is on spotify,search_web
"hey assistant, open up",open_app
can you time check,time
i need you to goodbye,farewell
just create a timer,set_alarm
"ok, crack a joke for 10 minutes",joke
add an alarm in london,set_alarm
"hey, wake me up for me",set_alarm
can you google,search_web
can you do you know any jokes friend,joke
"hey, open the app in new york",open_app
"hey assistant, hey in london",greeting
new alarm,set_alarm
can you what's the clock say,time
just hi there,greeting
"ok, show me",open_app
"hey, shuffle my songs please",play_music
"hey, do you know the time",time
would you mind if you talk to you soon about space,farewell
"hey assistant, who is",search_web
"ok, tell me a joke",joke
just music please please,play_music
"hey, what is the temperature",weather
please do i need an umbrella in new york,weather
can you shuffle my songs,play_music
could you start,open_app
just tell me the forecast on youtube,weather
farewell,farewell
"ok, look up at 7 am",search_web
can you go to,open_app
"hey, create a timer",set_alarm
i need you to wake me up friend,set_alarm
just boot up,open_app
please shuffle my songs,play_music
just tell me the time right now,time
"ok, make me laugh",joke
can you current time please,time
"hey, is it raining outside",weather
would you mind if you see you later,farewell
"ok, tell me about",search_web
would you mind if you have a good one in new york,farewell
just good afternoon,greeting
what is,search_web
can you play a song right now,play_music
"hey, show me please",open_app
"ok, google right now",search_web
would you mind if you what time is it,time
just wake me up please,set_alarm
would you mind if you how is the weather right now,weather
could you crack a joke,joke
i need you to play some tunes please,play_music
"ok, wake me up",set_alarm
"hey assistant, go to for me",open_app
"hey, wake me up on youtube",set_alarm
could you play some tunes today,play_music
i need you to resume playback on spotify,play_music
i need you to tell me the time now,time
could you remind me on spotify,set_alarm
please google for me,search_web
can you talk to you soon quickly,farewell
"ok, tell me a joke for me",joke
could you start,open_app
time check,time
"hey, what is the temperature",weather
just google,search_web
"ok, google about dogs",search_web
i need you to search the web for for 10 minutes,search_web
"hey, current time please",time
would you mind if you play some music quickly,play_music
just peace out in london,farewell
"hey assistant, see you later",farewell
i need you to make me laugh,joke
would you mind if you is it sunny now,weather
i need you to open the app friend,open_app
"ok, launch",open_app
"ok, wake me up for me",set_alarm
would you mind if you good evening for me,greeting
"hey, what is",search_web
"hey assistant, bye",farewell
can you what's the clock say friend,time
play a song,play_music
can you look up about space,search_web
just tell me a joke for me,joke
play some tunes friend,play_music
can you start on youtube,open_app
just see ya right now,farewell
i need you to tell me a joke please,joke
"hey assistant, open up on youtube",open_app
please i'm leaving tomorrow,farewell
create a timer,set_alarm
would you mind if you create a timer about space,set_alarm
can you do you know the time about dogs,time
please good evening,greeting
"ok, what's the weather like right now",weather
"hey assistant, show me",open_app
"ok, do i need an umbrella please",weather
can you remind me for 10 minutes,set_alarm
i need you to show me,open_app
would you mind if you time check,time
can you do you know any jokes today,joke
just start,open_app
"ok, goodbye in london",farewell
could you who is on youtube,search_web
"ok, search for for 10 minutes",search_web
can you play some music at 7 am,play_music
create a timer,set_alarm
could you search for,search_web
i need you to new alarm please,set_alarm
"ok, time check",time
could you bye bye at 7 am,farewell
please remind me now,set_alarm
just time check,time
"hey assistant, tell me a joke about dogs",joke
"hey assistant, tell me the forecast about space",weather
could you what's the weather like about dogs,weather
can you time check on spotify,time
just wake me up in london,set_alarm
"ok, do you know the time tomorrow",time
could you is it sunny,weather
"ok, search for on youtube",search_web
could you can you google today,search_web
i need you to talk to you soon about space,farewell
i need you to tell me something funny today,joke
can you could you tell me the time,time
could you do you know any jokes quickly,joke
i need you to do you know the time please,time
could you see ya,farewell
please could you tell me the time,time
can you do you know any jokes,joke
could you do you know any jokes quickly,joke
could you see ya for me,farewell
"hey, could you tell me the time",time
hi there in new york,greeting
"hey, is it sunny",weather
just what's up,greeting
please music please at 7 am,play_music
can you music please assistant,play_music
would you mind if you who is,search_web
"ok, create a timer on spotify",set_alarm
could you add an alarm right now,set_alarm
"ok, tell me a joke",joke
would you mind if you talk to you soon,farewell
"hey assistant, bye for 10 minutes",farewell
could you is it sunny on spotify,weather
could you is it sunny,weather
would you mind if you tell me something funny about space,joke
i need you to hi there friend,greeting
"ok, tell me the forecast",weather
"hey, music please about space",play_music
resume playback for 10 minutes,play_music
"ok, what is the time on youtube",time
how are you buddy,greeting
can you remind me,set_alarm
"hey assistant, can you google tomorrow",search_web
i need you to tell me the time,time
could you new alarm,set_alarm
just tell me something funny,joke
"ok, hey right now",greeting
"hey, find information about for me",search_web
could you new alarm,set_alarm
just shuffle my songs quickly,play_music
would you mind if you search the web for on youtube,search_web
i need you to wake me up now,set_alarm
"hey, search the web for please",search_web
just find information about at 7 am,search_web
current time please tomorrow,time
would you mind if you what's the weather like,weather
please what's the clock say,time
could you search for quickly,search_web
just timer for,set_alarm
just time check,time
"hey, remind me",set_alarm
just do i need an umbrella,weather
please put on a playlist about space,play_music
"ok, timer for in new york",set_alarm
"hey, play a song at 7 am",play_music
could you open up,open_app
"ok, play a song in new york",play_music
please google in new york,search_web
"hey assistant, i need a laugh",joke
is it raining outside right now,weather
please how is the weather,weather
would you mind if you open up,open_app
just what time is it assistant,time
would you mind if you show me in london,open_app
remind me today,set_alarm
tell me the forecast assistant,weather
start at 7 am,open_app
"hey assistant, find information about now",search_web
"ok, play a song",play_music
would you mind if you crack a joke for me,joke
"hey assistant, tell me something funny",joke
could you i'm leaving in new york,farewell
"ok, what time is it buddy",time
i need you to what's the clock say today,time
could you launch about space,open_app
set a timer,set_alarm
"hey assistant, what is the temperature in london",weather
"ok, good evening please",greeting
"hey assistant, have a good one",farewell
"hey assistant, i need a laugh in london",joke
please set a timer about space,set_alarm
"hey, time check",time
just tell me something funny buddy,joke
"hey, how is the weather today",weather
just tell me something funny today,joke
just bye buddy,farewell
could you make me laugh,joke
can you tell me something funny about space,joke
would you mind if you see ya about dogs,farewell
would you mind if you what's the clock say quickly,time
search the web for,search_web
please yo please,greeting
can you open up please,open_app
have a good one,farewell
i need you to do you know the time,time
i need you to show me,open_app
"ok, make me laugh",joke
just tell me something funny,joke
is it sunny in london,weather
i need you to can you google friend,search_web
"ok, what is the temperature",weather
can you how is the weather,weather
please open the app,open_app
bye bye,farewell
good morning,greeting
please tell me the forecast please,weather
please what is the time on spotify,time
"hey assistant, set a timer right now",set_alarm
"hey assistant, what is the temperature",weather
could you crack a joke for 10 minutes,joke
tell me something funny at 7 am,joke
i need you to do you know any jokes,joke
could you play some tunes about space,play_music
please is it sunny,weather
time check for 10 minutes,time
could you crack a joke,joke
"ok, start playing music about dogs",play_music
just wake me up buddy,set_alarm
i need you to good evening please,greeting
"hey, catch you later quickly",farewell
please what is the temperature on spotify,weather
please play some music tomorrow,play_music
